Village,Latitude,Longitude,Elevation_m
Valparai_Hill,10.3273,76.9536,1065.0
Mettupalayam,11.3,76.95,327.0
Sulur_Plains,11.0261,77.1261,371.0
Pollachi,10.662,77.0065,296.0
